Source_nodes	Target_nodes	Score	Source
ABL2	RAC3	1	Kegg
ABR	RAC1	1	Others
ABR	RAC2	1	Others
ABR	RHOA	1	Others
ABR	RHOB	1	Others
ABR	RHOC	1	Others
ABRAXAS1	SUMO2	1	Others
ABRAXAS1	UBE2I	1	Others
ACACB	CPT1A	1	Kegg
ACACB	CPT1B	1	Kegg
ACACB	CPT1C	1	Kegg
ACAP1	ARF6	1	Others
ACAP1	GULP1	1	Others
ACAP2	ARF6	1	Others
ACD	CTC1	1	Others
ACD	PCNA	1	Others
ACD	POLR2A	-1	Others
ACD	POLR2B	-1	Others
ACD	POLR2C	-1	Others
ACD	POLR2D	-1	Others
ACD	POLR2E	-1	Others
ACD	POLR2F	-1	Others
ACD	POLR2G	-1	Others
ACD	POLR2H	-1	Others
ACD	POLR2I	-1	Others
ACD	POLR2J	-1	Others
ACD	POLR2K	-1	Others
ACD	POLR2L	-1	Others
ACD	STN1	1	Others
ACD	TEN1	1	Others
ACE	KNG1	-1	Kegg
ACE2	AGT	1	Others
ACP1	ARHGAP35	1	Others
ACP1	CTNNB1	1	Kegg
ACSBG1	CPT1A	1	Kegg
ACSBG1	CPT1B	1	Kegg
ACSBG1	CPT1C	1	Kegg
ACSBG2	CPT1A	1	Kegg
ACSBG2	CPT1B	1	Kegg
ACSBG2	CPT1C	1	Kegg
ACSL1	CPT1A	1	Kegg
ACSL1	CPT1B	1	Kegg
ACSL1	CPT1C	1	Kegg
ACSL3	CPT1A	1	Kegg
ACSL3	CPT1B	1	Kegg
ACSL3	CPT1C	1	Kegg
ACSL4	CPT1A	1	Kegg
ACSL4	CPT1B	1	Kegg
ACSL4	CPT1C	1	Kegg
ACSL5	CPT1A	1	Kegg
ACSL5	CPT1B	1	Kegg
ACSL5	CPT1C	1	Kegg
ACSL6	CPT1A	1	Kegg
ACSL6	CPT1B	1	Kegg
ACSL6	CPT1C	1	Kegg
ACTA2	MYH10	1	Others
ACTA2	MYH11	1	Others
ACTA2	MYH14	1	Others
ACTA2	MYH9	1	Others
ACTA2	MYL6	1	Others
ACTA2	MYL6B	1	Others
ACTA2	MYL9	1	Others
ACTB	CETN2	1	Others
ACTB	COPS2	1	Others
ACTB	COPS3	1	Others
ACTB	COPS4	1	Others
ACTB	COPS5	1	Others
ACTB	COPS6	1	Others
ACTB	COPS7A	1	Others
ACTB	COPS7B	1	Others
ACTB	COPS8	1	Others
ACTB	CTNNA1	1	Others
ACTB	CTNNA2	1	Others
ACTB	CTNNA3	1	Others
ACTB	CUL4A	1	Others
ACTB	CUL4B	1	Others
ACTB	DDB1	1	Others
ACTB	DDB2	1	Others
ACTB	GPS1	1	Others
ACTB	H4C1	1	Others
ACTB	ITGA2B	1	Kegg
ACTB	ITGB3	1	Kegg
ACTB	PIP5K1A	1	Kegg
ACTB	PIP5K1B	1	Kegg
ACTB	PIP5K1C	1	Kegg
ACTB	RAD23B	1	Others
ACTB	RBX1	1	Others
ACTB	STK3	1	Kegg
ACTB	STM7	1	Kegg
ACTB	XPC	1	Others
ACTC1	MYH6	1	Others
ACTC1	MYH7	1	Others
ACTC1	MYL2	1	Others
ACTC1	MYL3	1	Others
ACTC1	MYL4	1	Others
ACTC1	TNNI3	1	Others
ACTC1	TNNT2	1	Kegg
ACTG1	CTNNA1	1	Others
ACTG1	CTNNA2	1	Others
ACTG1	CTNNA3	1	Others
ACTG1	ITGA2B	1	Kegg
ACTG1	ITGB3	1	Kegg
ACTG1	PIP5K1A	1	Kegg
ACTG1	PIP5K1B	1	Kegg
ACTG1	PIP5K1C	1	Kegg
ACTG1	STK3	1	Kegg
ACTG1	STM7	1	Kegg
ACTG2	MYH10	1	Others
ACTG2	MYH11	1	Others
ACTG2	MYH14	1	Others
ACTG2	MYH9	1	Others
ACTG2	MYL6	1	Others
ACTG2	MYL6B	1	Others
ACTG2	MYL9	1	Others
ACTL6A	CETN2	1	Others
ACTL6A	COPS2	1	Others
ACTL6A	COPS3	1	Others
ACTL6A	COPS4	1	Others
ACTL6A	COPS5	1	Others
ACTL6A	COPS6	1	Others
ACTL6A	COPS7A	1	Others
ACTL6A	COPS7B	1	Others
ACTL6A	COPS8	1	Others
ACTL6A	CUL4A	1	Others
ACTL6A	CUL4B	1	Others
ACTL6A	DDB1	1	Others
ACTL6A	DDB2	1	Others
ACTL6A	GPS1	1	Others
ACTL6A	H4C1	1	Others
ACTL6A	RAD23B	1	Others
